_id,BNS_Section,IPC_Section,Chapter,Description
67c8bccfdcd2f83aa7d0f46d,Sec. 37,S. 99,Chapter III: General Exceptions,"This section limits private defence when the act is by a public servant in good faith or help is available. It applies when someone resists a lawful arrest, denying the defence if the force used was unnecessary or excessive given the circumstances."
67c8bccfdcd2f83aa7d0f46e,Sec. 38,S. 100,Chapter III: General Exceptions,"This section permits causing death in private defence of the body under specific threats like rape or kidnapping. It applies when someone kills an assailant to prevent imminent death or grievous hurt, justifying lethal force in extreme situations."
67c8bccfdcd2f83aa7d0f46f,Sec. 39,S. 101,Chapter III: General Exceptions,"This section allows non-lethal harm in private defence of the body if proportionate to the threat. It applies when someone injures an attacker to stop an assault, ensuring the force used is reasonable and doesn’t exceed what’s necessary for protection."
67c8bccfdcd2f83aa7d0f470,Sec. 40,S. 102,Chapter III: General Exceptions,"This section defines when private defence of the body begins—upon reasonable apprehension of danger—and ends when the threat ceases. It applies when someone preemptively strikes an armed aggressor, allowing action only while the danger persists."
67c8bccfdcd2f83aa7d0f471,Sec. 41,S. 103,Chapter III: General Exceptions,"This section permits causing death in private defence of property during severe crimes like robbery or arson. It applies when a homeowner kills a burglar attempting murder during a break-in, justifying lethal force to protect property and life."
67c8bccfdcd2f83aa7d0f472,Sec. 42,S. 104,Chapter III: General Exceptions,"This section allows harm short of death in private defence of property if proportionate. It applies when someone injures a thief stealing goods, ensuring the response matches the threat without escalating to unnecessary violence or lethal outcomes."
67c8bccfdcd2f83aa7d0f473,Sec. 43,S. 105,Chapter III: General Exceptions,"This section outlines that private defence of property starts with a reasonable fear of harm and ends when the threat stops. It applies when someone chases off a trespasser, allowing force only while the property remains at immediate risk."
67c8bccfdcd2f83aa7d0f474,Sec. 44,S. 106,Chapter III: General Exceptions,"This section permits private defence against a deadly assault, even if it risks innocent bystanders. It applies when someone shoots an attacker in a crowd to save their life, excusing harm to others if the action was unavoidable and necessary."
67c8bccfdcd2f83aa7d0f475,Sec. 45,S. 107,Chapter III: General Exceptions,"This section defines abetment as instigating, aiding, or conspiring to commit an offence. It applies when someone encourages another to steal, making them liable even if they don’t commit the act themselves, targeting indirect involvement in crimes."
67c8bccfdcd2f83aa7d0f476,Sec. 46,S. 108,Chapter III: General Exceptions,"This section identifies an abettor as someone who assists or encourages an offence. It applies when a person supplies a weapon for a robbery, holding them accountable for facilitating the crime, regardless of their physical presence during its execution."
67c8bccfdcd2f83aa7d0f477,Sec. 47,S. 108A,Chapter III: General Exceptions,"This section covers abetment in India of offences committed outside India. It applies when someone in India plans a crime abroad, like smuggling, ensuring jurisdiction over cross-border instigation and holding abettors liable for extraterritorial acts."
67c8bccfdcd2f83aa7d0f478,Sec. 48,New Provision,Chapter III: General Exceptions,"This section addresses abetment outside India for offences in India. It applies when someone abroad assists a crime in India, like funding terrorism, closing jurisdictional gaps and ensuring accountability for international support of domestic crimes."
67c8bccfdcd2f83aa7d0f479,Sec. 49,S. 109,Chapter III: General Exceptions,"This section punishes abetment if the abetted act is committed as intended. It applies when someone incites a murder and it occurs, making the abettor equally liable as the perpetrator for the successful execution of the planned crime."
67c8bccfdcd2f83aa7d0f47a,Sec. 50,S. 110,Chapter III: General Exceptions,"This section punishes abetment when the person abetted acts with a different intent. It applies when someone encourages theft but the thief kills, holding the abettor liable for the theft encouragement, adjusted for the unintended outcome."
67c8bd5fdcd2f83aa7d0f47b,Sec. 51,S. 111,Chapter III: General Exceptions,"This section holds an abettor liable when a different act is done than what was abetted. It applies when someone instigates a fight but a murder occurs, linking liability to the foreseeable consequences of their initial encouragement."
67c8bd5fdcd2f83aa7d0f47c,Sec. 52,S. 112,Chapter III: General Exceptions,"This section imposes cumulative punishment on an abettor for both the abetted act and the act done. It applies when someone aids a robbery that turns violent, punishing them for both the planned crime and the additional harm caused."
67c8bd5fdcd2f83aa7d0f47d,Sec. 53,S. 113,Chapter III: General Exceptions,"This section holds an abettor liable for unintended effects of the abetted act. It applies when someone encourages vandalism that accidentally kills someone, making them accountable for the unforeseen harm resulting from their instigation."
67c8bd5fdcd2f83aa7d0f47e,Sec. 54,S. 114,Chapter III: General Exceptions,"This section treats an abettor present at the crime scene as a principal offender. It applies when someone stands by and assists during a robbery, ensuring they face the same punishment as those directly committing the offence."
67c8bd5fdcd2f83aa7d0f47f,Sec. 55,S. 115,Chapter III: General Exceptions,"This section punishes abetment of offences carrying death or life imprisonment, even if not committed. It applies when someone plots a murder that doesn’t happen, holding them liable for the intent to facilitate a severe crime."
67c8bd5fdcd2f83aa7d0f480,Sec. 56,S. 116,Chapter III: General Exceptions,"This section punishes abetment of offences punishable with imprisonment, even if not executed. It applies when someone encourages theft that doesn’t occur, ensuring accountability for attempting to instigate crimes with lesser penalties."
67c8bd5fdcd2f83aa7d0f481,Sec. 57,S. 117,Chapter III: General Exceptions,"This section increases punishment for abetting offences by the public or groups over ten. It applies when someone incites a riot by a crowd, targeting mass disturbances and ensuring harsher penalties for widespread criminal encouragement."
67c8bd5fdcd2f83aa7d0f482,Sec. 58,S. 118,Chapter III: General Exceptions,"This section punishes concealing plans to commit offences punishable with death or life imprisonment. It applies when someone hides a murder plot, holding them liable for shielding the intent to commit a grave crime from authorities."
67c8bd5fdcd2f83aa7d0f483,Sec. 59,S. 119,Chapter III: General Exceptions,"This section penalizes public servants concealing designs to commit offences they must prevent. It applies when a police officer hides a robbery plan, ensuring accountability for failing in their duty to stop crimes they’re tasked to address."
67c8bd5fdcd2f83aa7d0f484,Sec. 60,S. 120,Chapter III: General Exceptions,"This section punishes concealing plans to commit offences punishable with imprisonment. It applies when someone hides a theft scheme, holding them liable for not reporting lesser crimes, ensuring transparency and prevention of criminal activities."
67c8bd5fdcd2f83aa7d0f485,Sec. 61,S. 120A - 120B,Chapter III: General Exceptions,"This section defines and punishes criminal conspiracy, where two or more agree to commit an illegal act. It applies when individuals plan a bank heist, holding all conspirators liable, even if the crime isn’t completed, targeting coordinated criminal intent."
67c8bd5fdcd2f83aa7d0f486,Sec. 62,S. 511,Chapter III: General Exceptions,"This section punishes attempts to commit offences carrying life imprisonment or other terms. It applies when someone tries but fails to murder, ensuring liability for the intent and effort, even if the crime isn’t fully executed."
67c8bd5fdcd2f83aa7d0f487,Sec. 63,S. 375,Chapter IV: Offences Against the Person,"This section defines rape as non-consensual sexual intercourse. It applies when a person forces intercourse without consent, such as through violence or coercion, ensuring severe punishment for violating bodily autonomy and consent."
67c8bd5fdcd2f83aa7d0f488,Sec. 64,"S. 376(1), (2)",Chapter IV: Offences Against the Person,"This section prescribes punishment for rape, with varying severity based on circumstances. It applies when an adult rapes another, like in a stranger assault, ensuring penalties reflect the crime’s gravity, from imprisonment to life terms."
67c8bd5fdcd2f83aa7d0f489,Sec. 65.1,S. 376(3),Chapter IV: Offences Against the Person,"This section punishes rape on a woman under 16 with heightened penalties. It applies when an adult exploits a minor sexually, such as a teacher abusing a student, ensuring strict punishment to protect vulnerable young victims."
67c8bd5fdcd2f83aa7d0f48a,Sec. 65.2,S. 376AB,Chapter IV: Offences Against the Person,"This section imposes severe punishment for rape on a woman under 12. It applies in cases of child sexual abuse, like a relative assaulting a young girl, aiming to deter such heinous acts with life imprisonment or death."
67c8bd5fdcd2f83aa7d0f48b,Sec. 66,S. 376A,Chapter IV: Offences Against the Person,"This section punishes rape causing death or a persistent vegetative state. It applies when a violent assault leaves the victim dead or comatose, like in a brutal attack, ensuring the harshest penalties for such devastating outcomes."
67c8bd5fdcd2f83aa7d0f48c,Sec. 67,S. 376B,Chapter IV: Offences Against the Person,"This section penalizes sexual intercourse by a husband with his wife during separation without consent. It applies when a separated spouse forces intimacy, recognizing marital separation doesn’t imply consent, protecting individual rights."
67c8bd5fdcd2f83aa7d0f48d,Sec. 68,S. 376C,Chapter IV: Offences Against the Person,"This section punishes sexual intercourse by a person in authority exploiting their position. It applies when a boss or official coerces an employee into sex, addressing power imbalances and ensuring accountability for abuse of trust."
67c8bd5fdcd2f83aa7d0f48e,Sec. 69,New Provision,Chapter IV: Offences Against the Person,"This section criminalizes sexual intercourse obtained through deceit, like false marriage promises. It applies when someone tricks another into sex with lies, such as posing as a spouse, protecting victims from manipulation."
67c8bd5fdcd2f83aa7d0f48f,Sec. 70.1,S. 376D,Chapter IV: Offences Against the Person,"This section punishes gang rape, where multiple persons assault a victim together. It applies in group assaults, like a mob attacking a woman, ensuring severe penalties for collective sexual violence and deterring coordinated crimes."
67c8bd5fdcd2f83aa7d0f490,Sec. 70.2,New Provision,Chapter IV: Offences Against the Person,"This section targets gang rape of women under 18 with enhanced punishment. It applies when a group assaults a minor, such as teens attacking a schoolgirl, aiming to protect young victims and impose strict penalties."
67c8bd5fdcd2f83aa7d0f491,Sec. 71,S. 376E,Chapter IV: Offences Against the Person,"This section punishes repeat offenders of rape-related crimes. It applies when a convicted rapist reoffends, like a paroled offender attacking again, ensuring harsher sentences to prevent recidivism in sexual violence cases."
67c8bd5fdcd2f83aa7d0f492,Sec. 72,S. 228A,Chapter IV: Offences Against the Person,"This section prohibits disclosing the identity of victims of certain offences like rape. It applies when media or individuals reveal a victim’s name, protecting their privacy and dignity with penalties to enforce confidentiality."
67c8bd5fdcd2f83aa7d0f493,Sec. 73,S. 228A,Chapter IV: Offences Against the Person,"This section bans publishing court proceedings details without permission in cases like rape. It applies when someone leaks trial information, ensuring victim protection and judicial integrity by restricting unauthorized dissemination."
67c8bd5fdcd2f83aa7d0f494,Sec. 74,S. 354,Chapter IV: Offences Against the Person,"This section punishes assault or criminal force to outrage a woman’s modesty. It applies when someone gropes or harasses a woman in public, addressing gender-based violence and ensuring punishment for violating dignity."
67c8bd5fdcd2f83aa7d0f495,Sec. 75,S. 354A,Chapter IV: Offences Against the Person,"This section penalizes sexual harassment, like unwelcome advances or comments. It applies in workplaces or public spaces where someone makes lewd remarks, protecting individuals from persistent sexual misconduct."
67c8bd5fdcd2f83aa7d0f496,Sec. 76,S. 354B,Chapter IV: Offences Against the Person,"This section (gender-neutral) punishes assault with intent to disrobe. It applies when someone forcibly removes another’s clothing, like in a public attack, ensuring punishment for humiliating acts regardless of gender."
67c8bd5fdcd2f83aa7d0f497,Sec. 77,S. 354C,Chapter IV: Offences Against the Person,"This section (gender-neutral) penalizes voyeurism, like secretly filming someone undressing. It applies when a person invades privacy for sexual gratification, such as with hidden cameras, protecting individuals from non-consensual observation."
67c8bd5fdcd2f83aa7d0f498,Sec. 78,S. 354D,Chapter IV: Offences Against the Person,"This section punishes stalking, including following or contacting someone persistently. It applies when an individual harasses another, like tracking a woman home, ensuring safety from unwanted pursuit or intimidation."
67c8bd5fdcd2f83aa7d0f499,Sec. 79,S. 509,Chapter IV: Offences Against the Person,"This section penalizes words, gestures, or acts intended to insult a woman’s modesty. It applies when someone makes obscene remarks or gestures at a woman, protecting against verbal or non-physical sexual harassment."
67c8bd5fdcd2f83aa7d0f49a,Sec. 80,S. 304B,Chapter IV: Offences Against the Person,"This section punishes dowry death, where a woman dies due to harassment for dowry. It applies when a bride is killed or driven to suicide by in-laws over dowry demands, ensuring accountability for culturally rooted violence."
67c8bd5fdcd2f83aa7d0f49b,Sec. 81,S. 493,Chapter IV: Offences Against the Person,"This section punishes a man deceitfully inducing a woman to believe they’re married, leading to cohabitation. It applies when a man fakes a marriage to exploit a woman sexually, protecting victims from fraudulent relationships."
67c8bd5fdcd2f83aa7d0f49c,Sec. 82,S. 494,Chapter IV: Offences Against the Person,"This section penalizes bigamy, marrying again during a spouse’s lifetime. It applies when someone marries a second time while legally bound to another, like a man hiding an existing wife, ensuring legal monogamy."
67c8bd5fdcd2f83aa7d0f49d,Sec. 83,S. 496,Chapter IV: Offences Against the Person,"This section punishes fraudulent marriage ceremonies without lawful union. It applies when someone deceives another into a fake wedding, like a sham ritual for exploitation, safeguarding individuals from invalid matrimonial bonds."
67c8bd5fdcd2f83aa7d0f49e,Sec. 84,S. 498,Chapter IV: Offences Against the Person,"This section penalizes enticing or detaining a married woman with criminal intent. It applies when someone lures a wife away for illicit purposes, like abduction for ransom, protecting marital integrity and women."
67c8bd5fdcd2f83aa7d0f49f,Sec. 85,S. 498A,Chapter IV: Offences Against the Person,"This section punishes cruelty by a husband or his relatives against a woman. It applies when a wife faces physical or mental abuse, like beatings over dowry, offering legal recourse to combat domestic violence."
67c8bd5fdcd2f83aa7d0f4a0,Sec. 86,S. 498A,Chapter IV: Offences Against the Person,"This section defines cruelty as acts causing grave injury or danger to a woman’s life or health. It applies when a husband’s harassment, like starvation or threats, endangers his wife, prosecuting domestic abuse comprehensively."
67c8bd5fdcd2f83aa7d0f4a1,Sec. 87,S. 366,Chapter IV: Offences Against the Person,"This section punishes kidnapping or abducting a woman to force her into marriage or illicit intercourse. It applies when someone abducts a woman for trafficking or coerced marriage, protecting her freedom and autonomy."
67c8bd5fdcd2f83aa7d0f4a2,Sec. 88,S. 312,Chapter IV: Offences Against the Person,"This section penalizes causing a miscarriage with consent, except to save the woman’s life. It applies when a pregnant woman agrees to an abortion outside legal grounds, balancing reproductive rights with restrictions."
67c8bd5fdcd2f83aa7d0f4a3,Sec. 89,S. 313,Chapter IV: Offences Against the Person,"This section punishes causing a miscarriage without the woman’s consent. It applies when someone forcibly induces an abortion, like a partner using drugs, ensuring severe penalties for violating bodily autonomy."
67c8bd5fdcd2f83aa7d0f4a4,Sec. 90,S. 314,Chapter IV: Offences Against the Person,"This section penalizes acts intending to cause miscarriage that result in the woman’s death. It applies when an illegal abortion kills the mother, like a botched procedure, holding the perpetrator accountable for the fatal outcome."
67c8bd5fdcd2f83aa7d0f4a5,Sec. 91,S. 315,Chapter IV: Offences Against the Person,"This section punishes acts intended to prevent a child from being born alive or to kill it post-birth. It applies when someone harms a fetus to stop its survival, like poisoning a pregnant woman, targeting prenatal harm."
67c8bd5fdcd2f83aa7d0f4a6,Sec. 92,S. 316,Chapter IV: Offences Against the Person,"This section penalizes causing the death of a quick unborn child by acts amounting to culpable homicide. It applies when violence against a pregnant woman kills her fetus, like a beating, treating it as a serious offence."
67c8bd5fdcd2f83aa7d0f4a7,Sec. 94,S. 318,Chapter IV: Offences Against the Person,"This section punishes concealing a birth by secretly disposing of a dead infant’s body. It applies when someone hides an illegitimate child’s death, like burying it covertly, preventing evasion of legal scrutiny."
67c8bd5fdcd2f83aa7d0f4a8,Sec. 95,New Offence,Chapter IV: Offences Against the Person,"This section punishes hiring or engaging a child to commit an offence. It applies when an adult employs a minor for crimes like theft, protecting children from exploitation and ensuring severe penalties."
67c8bd5fdcd2f83aa7d0f4a9,Sec. 96,S. 366A,Chapter IV: Offences Against the Person,"This section (gender-neutral) punishes procuring a child for illicit purposes like prostitution. It applies when someone lures a minor into sexual exploitation, ensuring protection for all children and harsh punishment."
67c8bd5fdcd2f83aa7d0f4aa,Sec. 97,S. 369,Chapter IV: Offences Against the Person,"This section punishes kidnapping a child under ten to steal from them. It applies when someone abducts a young child to take their possessions, like jewelry, targeting vulnerable minors with penalties."
67c8bd5fdcd2f83aa7d0f4ab,Sec. 98,S. 372,Chapter IV: Offences Against the Person,"This section penalizes selling a child for prostitution or immoral purposes. It applies when a parent or guardian trades a minor into sexual exploitation, like to a brothel, dismantling child trafficking networks."
67c8bd5fdcd2f83aa7d0f4ac,Sec. 99,S. 373,Chapter IV: Offences Against the Person,"This section punishes buying a child for prostitution with a mandatory minimum sentence. It applies when someone purchases a minor for sexual exploitation, like from traffickers, deterring demand in the child sex trade."
67c8bd5fdcd2f83aa7d0f4ad,Sec. 100,S. 299,Chapter IV: Offences Against the Person,"This section defines culpable homicide as causing death by an unlawful act with intent or knowledge. It applies when someone kills another, like in a reckless fight, distinguishing murder from lesser homicide offences."
67c8bf40dcd2f83aa7d0f4ae,Sec. 101,S. 300,Chapter IV: Offences Against the Person,"This section defines murder as culpable homicide with intent to kill or knowledge of likely death. It applies when someone stabs another intending death, distinguishing it from accidental killings and warranting the severest punishment."
67c8bf40dcd2f83aa7d0f4af,Sec. 102,S. 301,Chapter IV: Offences Against the Person,"This section punishes culpable homicide where death occurs to someone other than intended. It applies when a shooter misses their target and kills a bystander, ensuring liability for the unintended but foreseeable consequence."
67c8bf40dcd2f83aa7d0f4b0,Sec. 103 (1),S. 302,Chapter IV: Offences Against the Person,"This section prescribes punishment for murder, typically death or life imprisonment. It applies when someone commits a premeditated killing, like a planned assassination, ensuring the harshest penalties for intentional killing."
67c8bf40dcd2f83aa7d0f4b1,Sec. 103 (2),New Provision,Chapter IV: Offences Against the Person,"This section punishes murder by a group of five or more (mob lynching) with severe penalties. It applies when a mob kills someone, like in a hate crime, targeting collective violence and ensuring accountability."
67c8bf40dcd2f83aa7d0f4b2,Sec. 104,S. 303,Chapter IV: Offences Against the Person,"This section increases punishment for murder by a life convict to life without remission. It applies when a prisoner serving life kills again, like in jail, ensuring no leniency for those who reoffend despite prior sentencing."
67c8bf40dcd2f83aa7d0f4b3,Sec. 105,S. 304,Chapter IV: Offences Against the Person,"This section punishes culpable homicide not amounting to murder with a mandatory minimum. It applies when someone causes death without intent, like in a sudden brawl, distinguishing it from murder and imposing proportionate penalties."
67c8bf40dcd2f83aa7d0f4b4,Sec. 106 (1),S. 304A,Chapter IV: Offences Against the Person,"This section increases punishment for causing death by negligence, like rash driving. It applies when a careless driver kills a pedestrian, ensuring accountability for preventable deaths due to lack of due care."
67c8bf40dcd2f83aa7d0f4b5,Sec. 106 (2),New Provision,Chapter IV: Offences Against the Person,"This section punishes causing death by rash driving and fleeing without reporting. It applies when a hit-and-run driver kills someone, like speeding away after an accident, adding penalties for evading responsibility."
67c8bf40dcd2f83aa7d0f4b6,Sec. 107,S. 307,Chapter IV: Offences Against the Person,"This section punishes attempts to murder with intent to kill. It applies when someone shoots but misses their target, ensuring severe penalties for the intent and act, even if the victim survives the attempted killing."
67c8bf40dcd2f83aa7d0f4b7,Sec. 108,S. 308,Chapter IV: Offences Against the Person,"This section punishes attempts to commit culpable homicide without murder intent. It applies when someone injures another in a fight, risking death without aiming to kill, holding them liable for dangerous but non-lethal intent."
67c8bf40dcd2f83aa7d0f4b8,Sec. 109,S. 309 (part repealed),Chapter IV: Offences Against the Person,"This section punishes suicide attempts to compel or restrain a public servant’s lawful power. It applies when someone threatens self-harm to stop an arrest, limiting the offence to specific intent against authority."
67c8bf40dcd2f83aa7d0f4b9,Sec. 110,S. 310 - 311 (repealed),Chapter IV: Offences Against the Person,"This section repeals provisions related to ‘thug,’ historically habitual robbers and murderers. It previously applied to organized criminal bands; its repeal reflects outdated terminology, with modern organized crime addressed under new provisions."
